household_id,cluster,cluster_name,r_score,f_score,m_score,rfm_code,has_demographics
2054,2,Declining,1,1,1,111,False
2055,3,Loyal Actives,5,5,4,554,False
2056,3,Loyal Actives,5,4,3,543,False
2057,0,Champions,4,4,4,444,True
2058,3,Loyal Actives,4,4,4,444,True
2059,2,Declining,1,2,3,123,False
2060,2,Declining,2,2,2,222,False
2061,2,Declining,3,1,1,311,False
2062,3,Loyal Actives,4,4,4,444,True
2063,2,Declining,1,3,3,133,True
2064,3,Loyal Actives,4,5,5,455,True
2065,3,Loyal Actives,5,3,4,534,False
2066,2,Declining,1,4,3,143,False
2068,3,Loyal Actives,5,4,3,543,True
2069,3,Loyal Actives,3,3,3,333,True
2070,3,Loyal Actives,5,5,5,555,True
2071,3,Loyal Actives,3,5,3,353,False
2073,2,Declining,1,1,2,112,False
2074,2,Declining,3,2,1,321,False
2075,3,Loyal Actives,4,5,5,455,False
2076,0,Champions,4,5,5,455,True
2077,3,Loyal Actives,2,3,2,232,False
2078,0,Champions,3,2,2,322,False
2079,3,Loyal Actives,2,3,4,234,False
2080,3,Loyal Actives,3,2,4,324,False
2081,2,Declining,1,1,1,111,False
2082,0,Champions,5,5,4,554,True
2083,3,Loyal Actives,5,5,5,555,False
2084,3,Loyal Actives,5,4,4,544,True
2085,3,Loyal Actives,3,5,5,355,True
2086,3,Loyal Actives,5,5,5,555,True
2087,0,Champions,5,5,5,555,True
2088,3,Loyal Actives,3,4,5,345,True
2089,2,Declining,2,2,1,221,False
2090,3,Loyal Actives,4,2,2,422,False
2091,2,Declining,1,1,2,112,False
2092,0,Champions,1,4,2,142,True
2093,0,Champions,1,1,1,111,False
2094,3,Loyal Actives,5,3,4,534,True
2095,3,Loyal Actives,1,5,4,154,False
2096,2,Declining,1,1,3,113,False
2097,0,Champions,4,5,5,455,True
2098,2,Declining,2,1,2,212,False
2099,0,Champions,2,3,2,232,False
2100,3,Loyal Actives,5,3,4,534,True
2101,1,Truly Lapsed,2,1,1,211,False
2102,3,Loyal Actives,4,4,4,444,True
2103,2,Declining,1,1,1,111,False
2104,2,Declining,2,2,2,222,False
2105,2,Declining,1,1,1,111,False
2106,1,Truly Lapsed,1,1,2,112,False
2107,3,Loyal Actives,2,3,4,234,True
